§§§+------------+---------------+-------------------+------+
| first_name |   last_name   |       name        | year |
| Billy      | Conigliaro    | Oakland Athletics | 1973 |
| Vic        | Davalillo     | Oakland Athletics | 1973 |
| Chuck      | Dobson        | Oakland Athletics | 1973 |
| Rollie     | Fingers       | Oakland Athletics | 1973 |
| Ray        | Fosse         | Oakland Athletics | 1973 |
| Rob        | Gardner       | Oakland Athletics | 1973 |
| Phil       | Garner        | Oakland Athletics | 1973 |
| Dick       | Green         | Oakland Athletics | 1973 |
| Dave       | Hamilton      | Oakland Athletics | 1973 |
| Larry      | Haney         | Oakland Athletics | 1973 |
| Mike       | Hegan         | Oakland Athletics | 1973 |
| Ken        | Holtzman      | Oakland Athletics | 1973 |
| Tim        | Hosley        | Oakland Athletics | 1973 |
| Catfish    | Hunter        | Oakland Athletics | 1973 |
| Reggie     | Jackson       | Oakland Athletics | 1973 |
| Deron      | Johnson       | Oakland Athletics | 1973 |
| Jay        | Johnstone     | Oakland Athletics | 1973 |
| Darold     | Knowles       | Oakland Athletics | 1973 |
| Ted        | Kubiak        | Oakland Athletics | 1973 |
| Allan      | Lewis         | Oakland Athletics | 1973 |
| Paul       | Lindblad      | Oakland Athletics | 1973 |
| Angel      | Mangual       | Oakland Athletics | 1973 |
| Gonzalo    | Marquez       | Oakland Athletics | 1973 |
| Dal        | Maxvill       | Oakland Athletics | 1973 |
| Rich       | McKinney      | Oakland Athletics | 1973 |
| Jose       | Morales       | Oakland Athletics | 1973 |
| Bill       | North         | Oakland Athletics | 1973 |
| Blue Moon  | Odom          | Oakland Athletics | 1973 |
| Horacio    | Pina          | Oakland Athletics | 1973 |
| Joe        | Rudi          | Oakland Athletics | 1973 |
| Gene       | Tenace        | Oakland Athletics | 1973 |
| Manny      | Trillo        | Oakland Athletics | 1973 |
| Glenn      | Abbott        | Oakland Athletics | 1974 |
| Jesus      | Alou          | Oakland Athletics | 1974 |
| Sal        | Bando         | Oakland Athletics | 1974 |
| Vida       | Blue          | Oakland Athletics | 1974 |
| Pat        | Bourque       | Oakland Athletics | 1974 |
| Bert       | Campaneris    | Oakland Athletics | 1974 |
| Vic        | Davalillo     | Oakland Athletics | 1974 |
| John       | Donaldson     | Oakland Athletics | 1974 |
| Rollie     | Fingers       | Oakland Athletics | 1974 |
| Ray        | Fosse         | Oakland Athletics | 1974 |
| Phil       | Garner        | Oakland Athletics | 1974 |
| Dick       | Green         | Oakland Athletics | 1974 |
| Dave       | Hamilton      | Oakland Athletics | 1974 |
| Larry      | Haney         | Oakland Athletics | 1974 |
| Jim        | Holt          | Oakland Athletics | 1974 |
| Ken        | Holtzman      | Oakland Athletics | 1974 |
| Leon       | Hooten        | Oakland Athletics | 1974 |
| Tim        | Hosley        | Oakland Athletics | 1974 |
| Catfish    | Hunter        | Oakland Athletics | 1974 |
| Reggie     | Jackson       | Oakland Athletics | 1974 |
| Deron      | Johnson       | Oakland Athletics | 1974 |
| Darold     | Knowles       | Oakland Athletics | 1974 |
| Ted        | Kubiak        | Oakland Athletics | 1974 |
| Paul       | Lindblad      | Oakland Athletics | 1974 |
| Angel      | Mangual       | Oakland Athletics | 1974 |
| Dal        | Maxvill       | Oakland Athletics | 1974 |
| Rich       | McKinney      | Oakland Athletics | 1974 |
| Bill       | North         | Oakland Athletics | 1974 |
| Blue Moon  | Odom          | Oakland Athletics | 1974 |
| Bill       | Parsons       | Oakland Athletics | 1974 |
| Gaylen     | Pitts         | Oakland Athletics | 1974 |
| Joe        | Rudi          | Oakland Athletics | 1974 |
| Champ      | Summers       | Oakland Athletics | 1974 |
| Gene       | Tenace        | Oakland Athletics | 1974 |
| Manny      | Trillo        | Oakland Athletics | 1974 |
| Claudell   | Washington    | Oakland Athletics | 1974 |
| Herb       | Washington    | Oakland Athletics | 1974 |
| Glenn      | Abbott        | Oakland Athletics | 1975 |
| Matt       | Alexander     | Oakland Athletics | 1975 |
| Stan       | Bahnsen       | Oakland Athletics | 1975 |
| Sal        | Bando         | Oakland Athletics | 1975 |
| Vida       | Blue          | Oakland Athletics | 1975 |
| Dick       | Bosman        | Oakland Athletics | 1975 |
| Bert       | Campaneris    | Oakland Athletics | 1975 |
| Charlie    | Chant         | Oakland Athletics | 1975 |
| Rollie     | Fingers       | Oakland Athletics | 1975 |
| Ray        | Fosse         | Oakland Athletics | 1975 |
| Phil       | Garner        | Oakland Athletics | 1975 |
| Billy      | Grabarkewitz  | Oakland Athletics | 1975 |
| Dave       | Hamilton      | Oakland Athletics | 1975 |
| Larry      | Haney         | Oakland Athletics | 1975 |
| Tommy      | Harper        | Oakland Athletics | 1975 |
| Jim        | Holt          | Oakland Athletics | 1975 |
| Ken        | Holtzman      | Oakland Athletics | 1975 |
| Don        | Hopkins       | Oakland Athletics | 1975 |
| Reggie     | Jackson       | Oakland Athletics | 1975 |
| Ted        | Kubiak        | Oakland Athletics | 1975 |
| Paul       | Lindblad      | Oakland Athletics | 1975 |
| Angel      | Mangual       | Oakland Athletics | 1975 |
| Ted        | Martinez      | Oakland Athletics | 1975 |
| Dal        | Maxvill       | Oakland Athletics | 1975 |
| Rich       | McKinney      | Oakland Athletics | 1975 |
| Craig      | Mitchell      | Oakland Athletics | 1975 |
| Mike       | Norris        | Oakland Athletics | 1975 |
| Bill       | North         | Oakland Athletics | 1975 |
| Blue Moon  | Odom          | Oakland Athletics | 1975 |
| Jim        | Perry         | Oakland Athletics | 1975 |
| Gaylen     | Pitts         | Oakland Athletics | 1975 |
| Joe        | Rudi          | Oakland Athletics | 1975 |
| Charlie    | Sands         | Oakland Athletics | 1975 |
| Tommy      | Sandt         | Oakland Athletics | 1975 |
| Sonny      | Siebert       | Oakland Athletics | 1975 |
| Gene       | Tenace        | Oakland Athletics | 1975 |
| Jim        | Todd          | Oakland Athletics | 1975 |
| Cesar      | Tovar         | Oakland Athletics | 1975 |
| Denny      | Walling       | Oakland Athletics | 1975 |
| Claudell   | Washington    | Oakland Athletics | 1975 |
| Herb       | Washington    | Oakland Athletics | 1975 |
| Billy      | Williams      | Oakland Athletics | 1975 |
| Glenn      | Abbott        | Oakland Athletics | 1976 |
| Matt       | Alexander     | Oakland Athletics | 1976 |
| Stan       | Bahnsen       | Oakland Athletics | 1976 |
| Sal        | Bando         | Oakland Athletics | 1976 |
| Chris      | Batton        | Oakland Athletics | 1976 |
| Don        | Baylor        | Oakland Athletics | 1976 |
| Vida       | Blue          | Oakland Athletics | 1976 |
| Dick       | Bosman        | Oakland Athletics | 1976 |
| Bert       | Campaneris    | Oakland Athletics | 1976 |
| Nate       | Colbert       | Oakland Athletics | 1976 |
| Ron        | Fairly        | Oakland Athletics | 1976 |
| Rollie     | Fingers       | Oakland Athletics | 1976 |
| Phil       | Garner        | Oakland Athletics | 1976 |
| Wayne      | Gross         | Oakland Athletics | 1976 |
| Larry      | Haney         | Oakland Athletics | 1976 |
| Jim        | Holt          | Oakland Athletics | 1976 |
| Don        | Hopkins       | Oakland Athletics | 1976 |
| Tim        | Hosley        | Oakland Athletics | 1976 |
| Paul       | Lindblad      | Oakland Athletics | 1976 |
| Larry      | Lintz         | Oakland Athletics | 1976 |
| Angel      | Mangual       | Oakland Athletics | 1976 |
| Willie     | McCovey       | Oakland Athletics | 1976 |
| Ken        | McMullen      | Oakland Athletics | 1976 |
| Craig      | Mitchell      | Oakland Athletics | 1976 |
| Paul       | Mitchell      | Oakland Athletics | 1976 |
| Jeff       | Newman        | Oakland Athletics | 1976 |
| Mike       | Norris        | Oakland Athletics | 1976 |
| Bill       | North         | Oakland Athletics | 1976 |
| Joe        | Rudi          | Oakland Athletics | 1976 |
| Tommy      | Sandt         | Oakland Athletics | 1976 |
| Gene       | Tenace        | Oakland Athletics | 1976 |
| Jim        | Todd          | Oakland Athletics | 1976 |
| Mike       | Torrez        | Oakland Athletics | 1976 |
| Cesar      | Tovar         | Oakland Athletics | 1976 |
| Denny      | Walling       | Oakland Athletics | 1976 |
| Claudell   | Washington    | Oakland Athletics | 1976 |
| Billy      | Williams      | Oakland Athletics | 1976 |
| Gary       | Woods         | Oakland Athletics | 1976 |
| Matt       | Alexander     | Oakland Athletics | 1977 |
| Dick       | Allen         | Oakland Athletics | 1977 |
| Tony       | Armas         | Oakland Athletics | 1977 |
| Stan       | Bahnsen       | Oakland Athletics | 1977 |
| Doug       | Bair          | Oakland Athletics | 1977 |
| Vida       | Blue          | Oakland Athletics | 1977 |
| Joe        | Coleman       | Oakland Athletics | 1977 |
| Willie     | Crawford      | Oakland Athletics | 1977 |
| Steve      | Dunning       | Oakland Athletics | 1977 |
| Dock       | Ellis         | Oakland Athletics | 1977 |
| Dave       | Giusti        | Oakland Athletics | 1977 |
| Wayne      | Gross         | Oakland Athletics | 1977 |
| Tim        | Hosley        | Oakland Athletics | 1977 |
| Mike       | Jorgensen     | Oakland Athletics | 1977 |
| Matt       | Keough        | Oakland Athletics | 1977 |
| Bob        | Lacey         | Oakland Athletics | 1977 |
| Rick       | Langford      | Oakland Athletics | 1977 |
| Larry      | Lintz         | Oakland Athletics | 1977 |
| Sheldon    | Mallory       | Oakland Athletics | 1977 |
| Steve      | McCatty       | Oakland Athletics | 1977 |
| Rich       | McKinney      | Oakland Athletics | 1977 |
| Doc        | Medich        | Oakland Athletics | 1977 |
| Craig      | Mitchell      | Oakland Athletics | 1977 |
| Paul       | Mitchell      | Oakland Athletics | 1977 |
| Larry      | Murray        | Oakland Athletics | 1977 |
| Jeff       | Newman        | Oakland Athletics | 1977 |
| Mike       | Norris        | Oakland Athletics | 1977 |
| Bill       | North         | Oakland Athletics | 1977 |
| Mitchell   | Page          | Oakland Athletics | 1977 |
| Marty      | Perez         | Oakland Athletics | 1977 |
| Rob        | Picciolo      | Oakland Athletics | 1977 |
| Manny      | Sanguillen    | Oakland Athletics | 1977 |
| Rodney     | Scott         | Oakland Athletics | 1977 |
| Jerry      | Tabb          | Oakland Athletics | 1977 |
| Mike       | Torrez        | Oakland Athletics | 1977 |
| Pablo      | Torrealba     | Oakland Athletics | 1977 |
| Jim        | Tyrone        | Oakland Athletics | 1977 |
| Jim        | Umbarger      | Oakland Athletics | 1977 |
| Earl       | Williams      | Oakland Athletics | 1977 |
| Mark       | Williams      | Oakland Athletics | 1977 |
| Mike       | Adams         | Oakland Athletics | 1978 |
| Gary       | Alexander     | Oakland Athletics | 1978 |
| Dell       | Alston        | Oakland Athletics | 1978 |
| Tony       | Armas         | Oakland Athletics | 1978 |
| Pete       | Broberg       | Oakland Athletics | 1978 |
| Mark       | Budaska       | Oakland Athletics | 1978 |
| Glenn      | Burke         | Oakland Athletics | 1978 |
| Rico       | Carty         | Oakland Athletics | 1978 |
| Joe        | Coleman       | Oakland Athletics | 1978 |
| Tim        | Conroy        | Oakland Athletics | 1978 |
| Miguel     | Dilone        | Oakland Athletics | 1978 |
| Taylor     | Duncan        | Oakland Athletics | 1978 |
| Mike       | Edwards       | Oakland Athletics | 1978 |
| Jim        | Essian        | Oakland Athletics | 1978 |
| Tito       | Fuentes       | Oakland Athletics | 1978 |
| Wayne      | Gross         | Oakland Athletics | 1978 |
| Mario      | Guerrero      | Oakland Athletics | 1978 |
| Dave       | Heaverlo      | Oakland Athletics | 1978 |
| Willie     | Horton        | Oakland Athletics | 1978 |
| Tim        | Hosley        | Oakland Athletics | 1978 |
| John Henry | Johnson       | Oakland Athletics | 1978 |
| Matt       | Keough        | Oakland Athletics | 1978 |
| Bob        | Lacey         | Oakland Athletics | 1978 |
| Rick       | Langford      | Oakland Athletics | 1978 |
| Steve      | McCatty       | Oakland Athletics | 1978 |
| Scott      | Meyer         | Oakland Athletics | 1978 |
| Craig      | Minetto       | Oakland Athletics | 1978 |
| Mike       | Morgan        | Oakland Athletics | 1978 |
| Dwayne     | Murphy        | Oakland Athletics | 1978 |
| Larry      | Murray        | Oakland Athletics | 1978 |
| Jeff       | Newman        | Oakland Athletics | 1978 |
| Mike       | Norris        | Oakland Athletics | 1978 |
| Bill       | North         | Oakland Athletics | 1978 |
| Mitchell   | Page          | Oakland Athletics | 1978 |
| Marty      | Perez         | Oakland Athletics | 1978 |
| Rob        | Picciolo      | Oakland Athletics | 1978 |
| Steve      | Renko         | Oakland Athletics | 1978 |
| Dave       | Revering      | Oakland Athletics | 1978 |
| Bruce      | Robinson      | Oakland Athletics | 1978 |
| Elias      | Sosa          | Oakland Athletics | 1978 |
| Steve      | Staggs        | Oakland Athletics | 1978 |
| Jerry      | Tabb          | Oakland Athletics | 1978 |
| Gary       | Thomasson     | Oakland Athletics | 1978 |
| Joe        | Wallis        | Oakland Athletics | 1978 |
| Alan       | Wirth         | Oakland Athletics | 1978 |
| Darrell    | Woodard       | Oakland Athletics | 1978 |
| Tony       | Armas         | Oakland Athletics | 1979 |
| Derek      | Bryant        | Oakland Athletics | 1979 |
| Glenn      | Burke         | Oakland Athletics | 1979 |
| Dave       | Chalk         | Oakland Athletics | 1979 |
| Miguel     | Dilone        | Oakland Athletics | 1979 |
| Mike       | Edwards       | Oakland Athletics | 1979 |
| Jim        | Essian        | Oakland Athletics | 1979 |
| Wayne      | Gross         | Oakland Athletics | 1979 |
| Mario      | Guerrero      | Oakland Athletics | 1979 |
| Dave       | Hamilton      | Oakland Athletics | 1979 |
| Mike       | Heath         | Oakland Athletics | 1979 |
| Dave       | Heaverlo      | Oakland Athletics | 1979 |
| Rickey     | Henderson     | Oakland Athletics | 1979 |
| John Henry | Johnson       | Oakland Athletics | 1979 |
| Matt       | Keough        | Oakland Athletics | 1979 |
| Brian      | Kingman       | Oakland Athletics | 1979 |
| Mickey     | Klutts        | Oakland Athletics | 1979 |
| Bob        | Lacey         | Oakland Athletics | 1979 |
| Rick       | Langford      | Oakland Athletics | 1979 |
| Steve      | McCatty       | Oakland Athletics | 1979 |
| Craig      | Minetto       | Oakland Athletics | 1979 |
| Mike       | Morgan        | Oakland Athletics | 1979 |
| Dwayne     | Murphy        | Oakland Athletics | 1979 |
| Larry      | Murray        | Oakland Athletics | 1979 |
| Jeff       | Newman        | Oakland Athletics | 1979 |
| Mike       | Norris        | Oakland Athletics | 1979 |
| Mitchell   | Page          | Oakland Athletics | 1979 |
| Rob        | Picciolo      | Oakland Athletics | 1979 |
| Milt       | Ramirez       | Oakland Athletics | 1979 |
| Dave       | Revering      | Oakland Athletics | 1979 |
| Jim        | Todd          | Oakland Athletics | 1979 |
| Joe        | Wallis        | Oakland Athletics | 1979 |
| Alan       | Wirth         | Oakland Athletics | 1979 |
| Tony       | Armas         | Oakland Athletics | 1980 |
| Dave       | Beard         | Oakland Athletics | 1980 |
| Rich       | Bordi         | Oakland Athletics | 1980 |
| Ernie      | Camacho       | Oakland Athletics | 1980 |
| Ray        | Cosey         | Oakland Athletics | 1980 |
| Jeff       | Cox           | Oakland Athletics | 1980 |
| Mike       | Davis         | Oakland Athletics | 1980 |
| Mike       | Edwards       | Oakland Athletics | 1980 |
| Randy      | Elliott       | Oakland Athletics | 1980 |
| Jim        | Essian        | Oakland Athletics | 1980 |
| Orlando    | Gonzalez      | Oakland Athletics | 1980 |
| Wayne      | Gross         | Oakland Athletics | 1980 |
| Mario      | Guerrero      | Oakland Athletics | 1980 |
| Dave       | Hamilton      | Oakland Athletics | 1980 |
| Mike       | Heath         | Oakland Athletics | 1980 |
| Rickey     | Henderson     | Oakland Athletics | 1980 |
| Jeff       | Jones         | Oakland Athletics | 1980 |
| Matt       | Keough        | Oakland Athletics | 1980 |
| Brian      | Kingman       | Oakland Athletics | 1980 |
| Mickey     | Klutts        | Oakland Athletics | 1980 |
| Bob        | Lacey         | Oakland Athletics | 1980 |
| Rick       | Langford      | Oakland Athletics | 1980 |
| Rick       | Lysander      | Oakland Athletics | 1980 |
| Steve      | McCatty       | Oakland Athletics | 1980 |
| Dave       | McKay         | Oakland Athletics | 1980 |
| Craig      | Minetto       | Oakland Athletics | 1980 |
| Dwayne     | Murphy        | Oakland Athletics | 1980 |
| Jeff       | Newman        | Oakland Athletics | 1980 |
| Mike       | Norris        | Oakland Athletics | 1980 |
| Mitchell   | Page          | Oakland Athletics | 1980 |
| Rob        | Picciolo      | Oakland Athletics | 1980 |
| Dave       | Revering      | Oakland Athletics | 1980 |
| Mark       | Souza         | Oakland Athletics | 1980 |
| Alan       | Wirth         | Oakland Athletics | 1980 |
| Tony       | Armas         | Oakland Athletics | 1981 |
